Strategy,Total_Chunks,Avg_Tokens_Per_Chunk,Token_Std,Precision@1,Recall@5,MRR,Answer_F1,Coverage_Score,Semantic_Coherence,Avg_Latency_ms,P95_Latency_ms,Queries_Per_Sec
Fixed_256_0,642,219.9,74.4,0.750,0.979,0.861,0.663,0.750,0.048,59.36,70.11,16.8
Fixed_512_64,415,382.8,193.7,0.917,1.000,0.958,0.667,0.750,0.048,68.94,93.85,14.5
Fixed_1024_128,262,599.0,449.8,0.833,1.000,0.917,0.663,0.722,0.045,74.97,124.93,13.3
Semantic_High_Sim,1486,93.3,80.3,0.667,1.000,0.819,0.595,0.646,0.098,75.37,100.82,13.3
Semantic_Low_Sim,1065,130.2,127.5,0.667,0.972,0.819,0.574,0.639,0.071,75.57,97.79,13.2
Semantic_Med_Sim,1320,105.1,91.5,0.750,0.972,0.875,0.570,0.674,0.087,67.79,84.80,14.8
Structural_Balanced,368,235.1,387.6,0.917,1.000,0.944,0.684,0.750,0.062,59.83,76.76,16.7
Structural_Hierarchical,380,227.7,341.1,0.917,1.000,0.944,0.669,0.750,0.061,58.56,67.99,17.1
Structural_Large,489,175.8,740.2,0.917,0.979,0.958,0.591,0.722,0.033,54.23,63.15,18.4
Recursive_Balanced,619,158.3,200.6,0.833,1.000,0.917,0.656,0.750,0.039,49.60,58.76,20.2
Recursive_Large,600,163.3,227.7,0.833,1.000,0.917,0.656,0.750,0.039,52.10,60.36,19.2
Recursive_Small,654,150.0,171.1,0.833,1.000,0.917,0.663,0.750,0.039,52.87,63.51,18.9
LLM_smallChunks,584,107.1,898.6,0.833,0.972,0.917,0.604,0.701,0.074,37.91,51.75,26.4
