Strategy,Total_Chunks,Min_Tokens,Max_Tokens,Avg_Tokens,Median_Tokens,Std_Tokens
Fixed_256_0,642,1,258,219.90654205607476,256.0,74.43599345955246
Fixed_512_64,415,17,514,382.7855421686747,512.0,193.73877527222874
Fixed_1024_128,262,17,1025,599.0190839694657,958.0,449.8062725684347
Semantic_High_Sim,1486,6,833,93.32234185733513,72.0,80.26000228333592
Semantic_Low_Sim,1065,8,833,130.2112676056338,84.0,127.52362743347696
Semantic_Med_Sim,1320,6,833,105.05681818181819,77.0,91.54611662251934
Structural_Balanced,368,3,1499,235.0733695652174,69.5,387.6255792973453
Structural_Hierarchical,380,3,1197,227.67105263157896,72.0,341.1411572385394
Structural_Large,489,1,13693,175.76482617586913,32.0,740.2159276453717
Recursive_Balanced,619,1,1018,158.34410339256866,61.0,200.63208560395375
Recursive_Large,600,1,1258,163.32833333333335,59.5,227.67785106129423
Recursive_Small,654,1,758,150.0428134556575,69.5,171.13465914741943
LLM_smallChunks,584,14,16627,107.12842465753425,52.0,898.6083641212957
