,Semantic Coherence,Context Completeness,Information Density,Topic Coverage,FAQ Grouping
Fixed_256_0,0.2524902374658545,0.8585669781931465,0.4543838236831653,1.0,1.0
Fixed_512_64,0.24201847811836913,0.8474698795180724,0.44597252131440274,1.0,1.0
Fixed_1024_128,0.2769249086332085,0.8274809160305346,0.4413540072649957,1.0,1.0
Semantic_High_Sim,0.45933255477386586,0.7067294751009423,0.42026171775231036,1.0,1.0
Semantic_Low_Sim,0.42865518438896616,0.7347417840375586,0.4116955396718408,1.0,1.0
Semantic_Med_Sim,0.4481661980057664,0.7220454545454547,0.4181636502713107,1.0,1.0
Structural_Balanced,0.35641188477752217,0.7203804347826087,0.6076889327632085,1.0,1.0
Structural_Hierarchical,0.3483476004313391,0.7260526315789476,0.6063099445600258,1.0,1.0
Structural_Large,0.41345400334624177,0.623517382413088,0.5947293667577518,1.0,1.0
Recursive_Balanced,0.3476343906442493,0.6995153473344105,0.6187104887651907,1.0,1.0
Recursive_Large,0.3500522307020767,0.6935,0.6280535485591657,1.0,1.0
Recursive_Small,0.34817215203543916,0.7097859327217126,0.6141027856623131,1.0,1.0
LLM_smallChunks,0.47652038001113856,0.7020547945205481,0.5419412312356024,1.0,1.0
