Strategy,Final_Score,RAG_Quality,Retrieval_Perf,Size_Opt,Performance,Total_Chunks,Avg_Tokens,Semantic_Coh,Context_Comp,Info_Density,Topic_Cov,Precision@1,Recall@5,MRR,Latency_ms,QPS
Fixed_256_0,0.704,0.641,0.843,0.970,0.001,642,219.9,0.252,0.859,0.454,1.000,0.733,0.944,0.856,104.74,9.5
Fixed_512_64,0.695,0.634,0.860,0.826,0.001,415,382.8,0.242,0.847,0.446,1.000,0.800,0.928,0.872,115.55,8.7
Fixed_1024_128,0.686,0.636,0.854,0.722,0.001,262,599.0,0.277,0.827,0.441,1.000,0.800,0.906,0.883,122.73,8.1
Semantic_High_Sim,0.680,0.647,0.799,0.866,0.001,1486,93.3,0.459,0.707,0.420,1.000,0.667,0.944,0.811,116.44,8.6
Semantic_Low_Sim,0.681,0.644,0.801,0.880,0.001,1065,130.2,0.429,0.735,0.412,1.000,0.667,0.939,0.811,112.28,8.9
Semantic_Med_Sim,0.692,0.647,0.828,0.875,0.001,1320,105.1,0.448,0.722,0.418,1.000,0.733,0.922,0.856,112.17,8.9
Structural_Balanced,0.724,0.671,0.902,0.758,0.001,368,235.1,0.356,0.720,0.608,1.000,0.867,0.967,0.922,90.56,11.0
Structural_Hierarchical,0.725,0.670,0.906,0.766,0.001,380,227.7,0.348,0.726,0.606,1.000,0.867,0.967,0.922,94.61,10.6
Structural_Large,0.710,0.658,0.889,0.723,0.001,489,175.8,0.413,0.624,0.595,1.000,0.867,0.944,0.933,84.87,11.8
Recursive_Balanced,0.705,0.666,0.856,0.787,0.001,619,158.3,0.348,0.700,0.619,1.000,0.800,0.939,0.900,104.62,9.6
Recursive_Large,0.706,0.668,0.856,0.784,0.001,600,163.3,0.350,0.694,0.628,1.000,0.800,0.939,0.900,106.44,9.4
Recursive_Small,0.708,0.668,0.856,0.814,0.001,654,150.0,0.348,0.710,0.614,1.000,0.800,0.939,0.900,100.41,10.0
LLM_smallChunks,0.741,0.680,0.925,0.815,0.002,584,107.1,0.477,0.702,0.542,1.000,0.867,0.967,0.933,69.10,14.5
